Circ	Inscrits	pcAbst	pcPArtiAbst
6905	90167	45.68	22.40
3310	83277	48.83	26.90
7608	65773	60.65	43.79
3201	73810	43.54	19.34
1304	64937	61.17	44.53
3106	115543	46.16	23.09
1003	66547	53.42	33.46
8502	112160	49.5	27.86
6501	88017	45.7	22.43
4404	93261	48.28	26.11
0603	91821	56.97	38.53
9302	55145	67.21	53.16
7301	93498	49.59	27.99
9213	90055	43.3	19.00
5103	80021	54.74	35.34
2401	77866	46.5	23.57
7204	80894	54.29	34.70
5301	73723	50.52	29.31
97104	68262	75.04	64.34
9207	87915	44.5	20.71
2603	110901	42.26	17.51
2504	65534	55.04	35.77
0401	61962	48.11	25.87
97203	60508	78.79	69.70
7103	81163	50.03	28.61
1201	78131	45.68	22.40
3304	98440	54.98	35.69
1310	109067	51.45	30.64
6911	96576	51.36	30.51
8803	63940	49.03	27.19
6703	70914	54.28	34.69
4905	79420	54.66	35.23
4501	77605	49.64	28.06
6404	80842	44.95	21.36
4410	123757	48.42	26.31
9409	54153	58.18	40.26
3003	95517	51.16	30.23
9508	54509	67.08	52.97
3102	105303	46.56	23.66
8902	73470	50.0	28.57
8601	80577	49.26	27.51
6901	72729	45.99	22.84
6602	103653	53.24	33.20
5709	101695	58.54	40.77
9001	47752	51.17	30.24
97302	46473	73.92	62.74
7002	89814	49.2	27.43
9110	61820	57.23	38.90
8308	109161	52.92	32.74
2801	91214	50.68	29.54
0607	97531	52.77	32.53
2702	79041	49.66	28.09
9306	58095	60.19	43.13
9107	73537	55.23	36.04
97204	83958	76.49	66.41
7104	83048	52.16	31.66
5001	87531	50.56	29.37
2503	64514	51.56	30.80
0802	60726	56.45	37.79
2907	83306	44.98	21.40
2604	99168	50.03	28.61
0701	79305	48.94	27.06
9311	63403	67.06	52.94
7203	86562	53.95	34.21
97103	84348	73.89	62.70
1101	98471	49.35	27.64
3004	94361	51.65	30.93
4506	75166	50.21	28.87
6403	84078	45.48	22.11
8804	65296	48.72	26.74
4902	94016	49.21	27.44
4601	72849	40.57	15.10
6704	97910	51.88	31.26
7809	92968	52.94	32.77
3303	89487	49.93	28.47
3202	73846	43.52	19.31
1307	67119	72.2	60.29
6906	89563	54.6	35.14
6502	89775	47.61	25.16
4407	117302	49.05	27.21
8501	118646	52.84	32.63
98601	9592	21.78	0.00
3105	106905	49.76	28.23
7302	76321	53.67	33.81
9210	79526	44.12	20.17
3808	82497	51.51	30.73
9301	67235	61.62	45.17
2705	89556	51.05	30.07
2402	84302	47.07	24.39
6209	80121	51.77	31.10
2903	93142	48.38	26.26
9204	80977	53.63	33.76
5302	79066	51.75	31.07
9103	98710	49.87	28.39
0402	66661	47.79	25.41
6803	87098	55.16	35.94
4906	98372	52.22	31.74
6912	82187	46.26	23.23
8703	82045	47.43	24.90
1313	94380	56.41	37.73
1202	69158	43.66	19.51
3307	79767	46.21	23.16
5908	68585	67.39	53.41
7518	70682	43.71	19.59
8404	90403	53.32	33.31
4502	87297	51.89	31.27
8505	84108	49.83	28.33
4403	96735	50.5	29.29
7508	85265	44.36	20.51
3101	83966	47.0	24.29
5918	91104	54.82	35.46
1303	75982	62.86	46.94
6902	74034	40.28	14.69
6601	72771	54.38	34.83
8901	75757	48.14	25.91
8602	79489	45.99	22.84
97301	56997	72.73	61.04
3408	94370	53.44	33.49
5104	77088	54.87	35.53
7001	88333	47.21	24.59
9002	46494	50.06	28.66
9305	65222	63.5	47.86
2802	75045	56.4	37.71
0604	85281	54.75	35.36
2701	86794	53.36	33.37
2902	79064	50.67	29.53
2601	77959	53.04	32.91
6208	92192	51.01	30.01
9205	75570	49.58	27.97
5303	72427	52.1	31.57
2B02	67934	51.8	31.14
97201	80041	80.0	71.43
3508	90991	44.69	20.99
7101	74569	50.46	29.23
5004	89408	52.0	31.43
9102	91937	52.32	31.89
6802	92578	52.59	32.27
4907	82870	50.31	29.01
6701	62677	49.24	27.49
8801	76767	52.5	32.14
6913	88572	53.64	33.77
8702	98167	45.2	21.71
1312	94713	58.52	40.74
5909	92342	52.25	31.79
1203	72513	44.59	20.84
3306	108026	47.78	25.40
3001	89353	58.25	40.36
3110	103426	41.68	16.69
8405	84400	50.54	29.34
4503	70874	48.84	26.91
6406	105501	49.08	27.26
8504	102676	51.76	31.09
4402	91433	43.89	19.84
7509	70810	45.2	21.71
5919	80357	57.71	39.59
1302	83613	51.14	30.20
6903	72442	42.9	18.43
8603	72977	48.1	25.86
0502	54274	46.17	23.10
5105	75988	50.98	29.97
3409	89422	54.52	35.03
9304	65100	67.81	54.01
5202	59449	52.68	32.40
0605	91172	55.6	36.57
2803	71342	52.8	32.57
9106	83238	49.82	28.31
2A01	52268	53.75	33.93
7105	88039	52.99	32.84
2502	79162	47.61	25.16
0803	55268	52.39	31.99
2906	91259	44.93	21.33
7202	83267	57.15	38.79
9310	69231	63.36	47.66
97102	87775	75.02	64.31
9201	65819	61.78	45.40
3005	98491	48.85	26.93
6402	83104	46.35	23.36
8401	73765	57.61	39.44
98802	122243	66.3	51.86
98701	72176	56.38	37.69
6705	106170	54.25	34.64
6806	94467	59.58	42.26
4903	72564	52.32	31.89
3302	72287	47.02	24.31
7808	74522	58.75	41.07
1316	91744	55.23	36.04
1306	78511	57.83	39.76
3312	88115	46.46	23.51
6907	70953	60.92	44.17
6604	101918	50.35	29.07
4701	88680	47.63	25.19
4406	115370	51.67	30.96
3104	68580	48.14	25.91
1001	64531	50.28	28.97
3809	100662	49.36	27.66
9211	70778	47.33	24.76
7303	74446	47.34	24.77
0902	62017	46.2	23.14
0601	82307	55.63	36.61
2704	92582	51.74	31.06
2403	67367	41.74	16.77
5101	74453	56.42	37.74
0105	77456	52.14	31.63
9404	74044	52.43	32.04
7516	75126	50.21	28.87
5502	59520	54.28	34.69
5906	93696	47.3	24.71
7803	83434	45.01	21.44
3309	102166	48.38	26.26
5605	81829	48.93	27.04
0202	73176	54.56	35.09
8103	104170	45.61	22.30
1402	68611	50.33	29.04
3507	105132	47.7	25.29
3903	70381	48.1	25.86
1705	119708	49.23	27.47
4302	79494	46.77	23.96
6207	94066	58.03	40.04
8305	101735	54.63	35.19
4203	83522	54.19	34.56
3701	71139	50.33	29.04
3802	78583	53.67	33.81
3406	93913	54.68	35.26
6001	83108	52.15	31.64
8002	77978	52.19	31.70
0303	80190	49.35	27.64
5704	80994	53.48	33.54
7601	66671	49.27	27.53
7902	98304	49.83	28.33
97501	5053	46.55	23.64
5916	83726	57.72	39.60
7710	81495	57.79	39.70
9505	69259	63.04	47.20
5403	80739	62.67	46.67
7506	80908	43.6	19.43
2101	70368	46.2	23.14
7704	88822	52.41	32.01
5601	114850	45.38	21.97
5902	86831	53.5	33.57
7807	80638	51.45	30.64
97404	108931	63.84	48.34
0101	86187	50.65	29.50
7403	88200	54.16	34.51
7512	75821	41.28	16.11
1701	110467	49.68	28.11
1802	68867	52.63	32.33
6203	83196	58.21	40.30
4001	108518	47.01	24.30
1406	96452	48.84	26.91
3503	91835	47.55	25.07
9109	78732	54.24	34.63
3402	65416	55.74	36.77
6005	73322	52.6	32.29
6302	90065	45.59	22.27
8301	72255	53.63	33.76
3806	89139	53.82	34.03
3705	87110	49.55	27.93
97602	49775	53.01	32.87
7502	74767	41.05	15.79
9410	67111	55.16	35.94
9501	82729	50.99	29.99
2105	85686	49.67	28.10
4409	129927	49.34	27.63
6908	105083	47.43	24.90
2202	103405	43.99	19.99
5912	93096	55.53	36.47
1309	100961	54.29	34.70
7605	95163	50.83	29.76
5903	92320	59.91	42.73
7806	75944	49.08	27.26
7705	88335	55.8	36.86
97405	87696	69.17	55.96
7402	100206	51.88	31.26
9510	67935	57.75	39.64
9401	85131	48.94	27.06
7513	78195	44.53	20.76
1803	84519	50.19	28.84
2908	91066	47.08	24.40
6202	87615	49.6	28.00
8201	93013	47.91	25.59
3502	98259	43.16	18.80
9108	75975	52.59	32.27
3403	92308	48.64	26.63
6004	93547	51.37	30.53
4101	82775	49.8	28.29
6303	89885	45.59	22.27
4206	111138	49.31	27.59
6212	96495	57.5	39.29
3704	92304	49.53	27.90
1601	83777	50.69	29.56
1902	93149	46.15	23.07
3807	96116	50.93	29.90
9411	64976	52.55	32.21
5406	87286	56.88	38.40
7503	73188	45.26	21.80
4408	90125	52.69	32.41
2104	68395	45.45	22.07
2203	88969	44.61	20.87
6909	96646	51.02	30.03
5913	86991	58.84	41.20
5701	93029	59.39	41.99
7604	87114	54.09	34.41
1308	102834	53.16	33.09
5802	79766	47.0	24.29
0104	94897	51.91	31.30
7517	62130	53.59	33.70
9405	90274	52.02	31.46
7406	81399	55.38	36.26
7701	71930	56.86	38.37
5604	111731	47.18	24.54
3308	119801	49.19	27.41
5907	73597	55.67	36.67
7802	86497	41.63	16.61
97401	85903	70.95	58.50
7610	110309	48.09	25.84
0203	66709	54.53	35.04
6101	68571	50.89	29.84
8102	109859	45.27	21.81
1403	79776	51.17	30.24
3506	90274	47.92	25.60
1704	94405	49.67	28.10
3601	77777	51.15	30.21
3902	55796	50.34	29.06
6206	93771	49.84	28.34
8304	112386	53.34	33.34
4202	50916	55.06	35.80
3803	60394	51.53	30.76
3407	108908	51.45	30.64
1502	52867	46.24	23.20
8003	82597	47.33	24.76
0302	80970	49.14	27.34
7903	84875	51.99	31.41
5705	72425	59.05	41.50
7711	66511	59.45	42.07
7812	71167	48.48	26.40
5917	73652	56.01	37.16
9504	75579	51.93	31.33
5402	67490	50.15	28.79
7507	80258	40.93	15.61
