artiste,element,genre,style,source,stream,date,spotify,cover,discogs,etat,match,titleDiscogs
"Dreadnought","A Wake In Sacred Waves","Metal","Progressive Metal, Doom Metal, Folk Metal, Atmospheric Black Metal","","https://dreadnoughtdenver.bandcamp.com/album/a-wake-in-sacred-waves","X","spotify:album:4seSirz4qfUvkYDQqbhRPD","https://img.discogs.com/jF7nHCLcTmnVAtW9qvatUvzC8sY=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-13117283-1548355249-2893.jpeg.jpg","https://www.discogs.com//Dreadnought-A-Wake-In-Sacred-Waves/master/1490299","3","1.0","Dreadnought - A Wake In Sacred Waves"
"Jonathan Fitoussi","Diagonals","Electronic","Ambient","","https://handsinthedarkrecords.bandcamp.com/album/diagonals","X","","https://img.discogs.com/DjMfoufVvNqtCA7b1WKrzfrY6Yo=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-12888615-1543900249-1635.jpeg.jpg","https://www.discogs.com//Jonathan-Fitoussi-Diagonals/release/12888615","3","1.0","Jonathan Fitoussi - Diagonals"
"Ital Tek","Hollowed","Electronic","Abstract, IDM","https://www.eklektik-rock.com/2016/05/ital-tek-hollowed/","","X","spotify:album:3bGqgORFI3IzvbhHv9CGWz","https://img.discogs.com/5PQWk-AYdEQ9LzH3O41fFF2fnq8=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-8281494-1512516917-9192.jpeg.jpg","https://www.discogs.com//Ital-Tek-Hollowed/master/975538","3","1.0","Ital Tek - Hollowed"
"Amon Düül II","Yeti","Electronic, Rock","Krautrock, Psychedelic Rock","http://www.gutsofdarkness.com/god/objet.php?objet=8380","","X","spotify:album:4ip7L3AtG2pLgZLhAON3va","https://img.discogs.com/YocUuiHYfU_-xoeXgPgGRQQtV04=/fit-in/600x615/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-408907-1618705031-2665.jpeg.jpg","https://www.discogs.com//master/1903-Amon-D%C3%BC%C3%BCl-II-Yeti","3","1.0","Amon Düül II - Yeti"
"Detroyer","ken","Stage & Screen, Electronic","Modern Classical, Score","https://pitchfork.com/reviews/albums/ken/","","X","spotify:album:4xMH74vcE3TKSIThpHomGS","https://img.discogs.com/tmCe0v1Nl373yIfOAxgszoYhzcU=/fit-in/600x592/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-3300980-1526026706-9541.jpeg.jpg","https://www.discogs.com//Marco-Beltrami-Mimic-Music-From-The-Dimension-Motion-Picture/release/3300980","3","0.20512820512820512","Marco Beltrami - Mimic (Music From The Dimension Motion Picture)"
"ASC","Astral Projection","Electronic","Techno, Experimental, Deep Techno","https://tartinedecontrebasse.com/2018/06/06/asc-astral-projection-eclipse-de-reel/","","X","spotify:album:2uqZqdVHDUorpf6Nh9fSUa","https://img.discogs.com/dZDB5hObtbdUENK0Kvb_AqHM0YA=/fit-in/600x598/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-11957228-1527072389-6286.jpeg.jpg","https://www.discogs.com//ASC-Astral-Projection/master/1358921","3","1.0","ASC - Astral Projection"
"Vektroid","Neo Cali","Electronic","New Age, Synth-pop, Ambient","","https://vektroid.bandcamp.com/album/neo-cali","X","","https://img.discogs.com/J2IL0jo3u_STuUyHcxteZpuh7jw=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-13385192-1553263527-4873.png.jpg","https://www.discogs.com//Vektroid-Neo-Cali/master/1231028","3","1.0","Vektroid - Neo Cali"
"Amplifier","The Octopuss","Rock#TODO","Progressif#TODO","http://www.metalorgie.com/groupe/Amplifier","","X","","","","3","0",""
"Revocation","The Outer Ones","Metal","Thrash, Technical Death Metal","","https://revocationband.bandcamp.com/album/the-outer-ones","X","spotify:album:1Ela7sSi5MIp9HmEuLbCdY","https://img.discogs.com/-rivW2DcRx58QBc7L9AbIB_50RE=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-13182280-1549494244-9081.jpeg.jpg","https://www.discogs.com//master/1428432-Revocation-The-Outer-Ones","3","1.0","Revocation - The Outer Ones"
"Origin","Unparalleded Universe","Metal#TODO","Death Tech#TODO","http://metal.nightfall.fr/index_12546_origin-unparalleded-universe.html","","X","","","","3","0",""
"Sunn O)))","Kannon","Metal","Drone, Doom Metal","http://www.heavyblogisheavy.com/2015/12/07/sunn-o-kannon/","","X","spotify:album:3RTGY3G7yQgsOiwOC6rC7S","https://img.discogs.com/jyD3mKSBsAFHDgN17Afzp_1-zzE=/fit-in/600x536/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-7780498-1448637000-8879.jpeg.jpg","https://www.discogs.com//Sunn-O-Kannon/master/922053","3","1.0","Sunn O))) - Kannon"
"Obscura","Akroasis","Metal","Technical Death Metal, Progressive Metal","http://www.heavyblogisheavy.com/2016/01/29/obscura-akroasis/","","","spotify:album:00UbYNcKS2BGljOkV49uHD","https://img.discogs.com/g_CIDsr8091B5tvbQ_3hvh0AvQU=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-9290577-1478038249-9057.jpeg.jpg","https://www.discogs.com//Obscura-Akroasis/release/8331920","3","0.8780487804878049","Obscura (3) - Akróasis"
"Bella Fleck","And the Fleckstones","Rock#TODO","Progressif#TODO","","","X","spotify:album:58VJzBF0hLb6ylVHdn1XB0","","","3","0",""
"Christian Fitness","Nuance The Musical","Rock","Indie Rock","http://www.perteetfracas.org/zine/kros2018/kros_c/christian_fitness_nuance_the_musical.htm","https://christianfitness.bandcamp.com/album/nuance-the-musical","X","","https://img.discogs.com/4ANoJVuZjPfG8tfocrHMQyNjA_w=/fit-in/600x545/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-11872499-1523870064-9220.jpeg.jpg","https://www.discogs.com//Christian-Fitness-Nuance-The-Musical/master/1349029","3","0.9743589743589743","Christian Fitness - Nuance - The Musical"
"Celeste","Misanthrope(s)","Metal","Black Metal, Experimental, Doom Metal","http://www.coreandco.fr/chroniques/celeste-misanthrope-s-1593.html","","X","spotify:album:40jCqffxLjJPGgKQaRgciD","https://img.discogs.com/RFq9lru_6lLc3sjVfUyxpDBGs9w=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-2659529-1295376739.jpeg.jpg","https://www.discogs.com//Celeste-Misanthropes/master/206584","3","0.9230769230769231","Celeste (4) - Misanthrope(s)"
"Kaadaa/Patton","Bacteria Cult","Expérimental#TODO","X#TODO","http://www.metalorgie.com/groupe/Kaada-Patton","","X","spotify:album:4DEARtrdqkl00kP3OsQ73e","","","3","0",""
"Harvestman","Music for Megaliths","Rock","Experimental, Ethereal, Avantgarde","http://www.heavyblogisheavy.com/2017/05/16/harvestman-music-for-megaliths/","","X","spotify:album:2L90Vd6lJsHTwfTfiOoe8i","https://img.discogs.com/cgl1sR1OYRTkskCQ2s6dOcIdvx8=/fit-in/500x500/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-10301442-1494941371-1005.jpeg.jpg","https://www.discogs.com//Harvestman-Music-For-Megaliths/master/1181447","3","1.0","Harvestman - Music For Megaliths"
"Forst Swords","Compassion","Electro#TODO","Posey#TODO","http://www.heavyblogisheavy.com/2017/05/23/forest-swords-compassion/","","X","spotify:album:3Mp0TZs7hlVdjUO0LVTlqh","","","3","0",""
